,COUNTRY,REGION,POP_1799,POP_1999,GINI_1799,GINI_1999,INCOME_1799,INCOME_1999,FERTILITY_1799,FERTILITY_1999,CHILD_MORTALITY_1799,CHILD_MORTALITY_1999,INFLATION_1999,INFLATION_2019,EMPLOYMENT_1999,EMPLOYMENT_2019
58,Ghana,Africa,2020.0,18800.0,47.0,40.5,0.94,3.54,6.43,4.9,471.0,103.0,14.0,9.97,67.2,75.4
59,Guinea,Africa,984.0,8050.0,33.9,44.1,0.264,2.49,6.11,6.15,451.0,174.0,4.23,9.95,62.5,61.3
60,Gambia,Africa,103.0,1280.0,41.5,48.3,0.84,2.58,6.51,5.97,460.0,119.0,-2.44,7.15,52.1,53.8
61,Guinea-Bissau,Africa,218.0,1180.0,48.2,38.1,1.23,2.32,7.25,5.91,417.0,180.0,12.3,-3.42,67.7,67.4
62,Equatorial Guinea,Africa,80.4,582.0,44.9,38.5,0.396,10.4,5.51,5.88,447.0,161.0,39.2,-2.2,55.2,54.5
63,Greece,Europe,2250.0,11000.0,51.6,34.8,1.72,27.0,6.03,1.33,361.0,6.86,3.62,0.191,47.1,42.1
64,Guatemala,America,463.0,11400.0,37.3,54.7,0.611,10.3,6.45,4.7,503.0,53.9,5.04,3.68,61.1,60.5
65,Guyana,America,166.0,750.0,39.7,45.2,1.27,7.85,5.01,3.04,429.0,47.8,11.2,2.96,50.7,51.0
67,Honduras,America,130.0,6400.0,58.0,55.4,0.811,6.38,6.05,4.17,393.0,38.9,7.58,4.13,64.5,65.1
68,Croatia,Europe,1230.0,4460.0,17.0,27.7,1.3,17.1,5.75,1.47,367.0,8.62,3.54,1.5,46.6,46.6
69,Haiti,America,500.0,8320.0,47.7,59.3,0.869,2.38,6.31,4.43,486.0,107.0,7.03,17.4,59.2,59.2
70,Hungary,Europe,3250.0,10200.0,37.5,30.2,1.63,12.7,5.18,1.33,368.0,10.7,8.12,4.77,45.4,53.3
71,Indonesia,Asia,16100.0,209000.0,51.7,31.1,0.522,2.75,6.07,2.52,444.0,54.9,14.2,1.6,63.3,63.1
72,India,Asia,201000.0,1040000.0,30.8,33.1,1.72,2.65,5.95,3.38,509.0,95.2,3.07,3.57,56.9,51.6
73,Ireland,Europe,5250.0,3730.0,39.0,33.6,1.67,36.0,4.2,1.94,348.0,7.29,4.35,3.15,55.1,55.6
74,Iran,Asia,6000.0,64800.0,63.0,44.0,1.06,11.0,7.08,2.36,506.0,36.2,33.1,36.9,38.4,38.3
75,Iraq,Asia,1000.0,22800.0,40.8,28.6,0.512,6.34,7.13,5.0,428.0,45.2,71.1,0.264,38.4,43.0
76,Iceland,Europe,61.4,278.0,25.8,26.2,1.13,44.6,4.88,2.02,412.0,4.26,3.5,4.53,75.5,74.2
77,Israel,Asia,210.0,5820.0,34.7,38.5,2.69,25.9,6.0,2.92,448.0,7.17,6.73,2.23,53.9,61.6
78,Italy,Europe,19000.0,56700.0,57.4,36.0,2.47,34.7,5.47,1.24,457.0,5.87,1.54,0.804,42.2,43.1
79,Jamaica,America,300.0,2630.0,42.0,44.1,1.52,11.3,5.13,2.62,390.0,22.9,6.92,3.18,56.4,59.5
80,Jordan,Asia,200.0,5030.0,36.9,36.6,1.22,8.15,6.97,4.13,421.0,27.8,-0.384,1.67,36.5,33.3
81,Japan,Asia,28000.0,127000.0,48.4,32.6,1.54,38.0,4.08,1.34,363.0,4.73,-1.31,0.641,60.1,58.4
82,Kazakhstan,Asia,2040.0,15000.0,43.3,35.7,0.575,5.93,6.45,1.94,497.0,45.3,13.3,7.63,61.7,66.9
83,Kenya,Europe,2570.0,31100.0,54.7,45.3,2.08,3.78,6.91,5.24,508.0,110.0,4.19,3.96,64.6,57.9
84,Kyrgyz Republic,Asia,530.0,4860.0,46.0,37.9,0.757,2.98,6.58,2.76,383.0,52.1,37.6,3.95,59.4,56.9
85,Cambodia,Asia,2090.0,11900.0,44.8,41.9,0.477,2.02,6.95,3.97,380.0,114.0,1.26,3.24,77.0,84.9
86,South Korea,Asia,9390.0,47000.0,32.1,31.7,1.34,27.0,6.0,1.41,503.0,7.91,-1.23,-0.922,56.8,60.3
87,Kuwait,Asia,81.3,1950.0,42.7,35.2,1.37,61.7,6.87,2.89,500.0,12.7,18.1,-1.34,66.7,66.9
88,Lao,Asia,470.0,5240.0,32.6,34.0,1.67,2.64,6.13,4.51,419.0,111.0,128.0,2.04,78.7,77.9
89,Lebanon,Asia,300.0,3750.0,47.5,35.0,3.35,20.4,5.74,2.31,448.0,21.0,0.813,4.52,40.4,44.1
90,Liberia,Africa,314.0,2700.0,36.8,36.8,3.51,1.91,6.19,5.95,429.0,199.0,0.72,-3.73,52.5,54.2
91,Libya,Africa,230.0,5280.0,42.8,37.6,1.09,15.2,7.2,2.98,405.0,29.0,13.3,-1.1,40.3,44.6
92,St. Lucia,America,24.0,155.0,42.6,44.1,0.318,8.77,5.53,2.35,460.0,18.1,2.33,0.993,52.1,54.9
93,Sri Lanka,Asia,1750.0,18700.0,37.2,40.0,1.07,5.22,5.68,2.24,410.0,17.1,4.16,2.74,52.8,50.8
94,Lesotho,Africa,276.0,2020.0,55.8,38.0,1.19,3.19,5.84,4.2,407.0,115.0,8.13,3.15,54.0,47.9
95,Lithuania,Europe,779.0,3530.0,47.7,55.7,0.709,10.9,5.76,1.38,459.0,11.2,-1.26,2.83,52.9,56.4
96,Luxembourg,Europe,127.0,431.0,33.8,32.0,1.39,64.5,4.78,1.71,357.0,5.05,5.8,3.39,50.8,54.8
97,Latvia,Europe,591.0,2410.0,46.0,30.4,0.736,10.1,5.2,1.17,405.0,15.3,1.49,2.31,49.6,55.0
98,Morocco,Africa,2500.0,28500.0,54.7,33.7,1.16,6.58,6.5,2.85,403.0,51.7,0.57,1.34,43.8,44.2
99,Moldova,Europe,713.0,4230.0,43.4,35.2,0.641,3.33,6.39,1.53,397.0,34.1,39.8,5.49,45.4,39.9
100,Madagascar,Africa,1500.0,15300.0,38.7,42.6,0.842,1.95,6.89,5.65,437.0,113.0,7.19,8.34,81.6,85.2
101,Maldives,America,42.4,274.0,41.4,38.6,0.62,6.77,5.98,3.16,458.0,43.8,2.75,-0.548,52.6,63.4
102,Mexico,America,5100.0,97500.0,38.8,41.4,0.99,9.56,6.8,2.77,487.0,27.9,16.1,3.97,58.9,59.3
103,North Macedonia,Europe,392.0,2020.0,31.1,40.7,0.637,7.22,5.9,1.77,397.0,17.1,2.74,1.11,35.9,42.8
104,Mali,Africa,1400.0,10600.0,50.5,31.0,0.56,1.8,6.23,6.92,494.0,194.0,16.3,1.93,48.4,66.2
105,Malta,Europe,134.0,391.0,33.4,42.6,1.13,28.5,5.49,1.75,460.0,7.88,0.766,2.31,46.4,52.1
106,Myanmar,Asia,6000.0,46200.0,26.2,28.2,0.976,1.42,6.03,2.93,433.0,91.5,22.6,6.59,71.3,64.1
107,Montenegro,Europe,127.0,615.0,34.1,38.1,1.5,10.9,5.9,1.89,375.0,14.6,20.25,2.02,37.1,40.2
108,Mongolia,Asia,600.0,2380.0,35.3,30.5,1.61,3.68,5.94,2.22,420.0,68.6,10.9,9.38,57.3,55.5
109,Mozambique,Africa,2000.0,17200.0,53.5,30.9,1.2,1.55,6.63,5.83,440.0,181.0,9.35,4.44,66.2,59.1
110,Mauritania,Africa,383.0,2560.0,39.4,50.2,0.477,4.63,6.34,5.51,417.0,114.0,4.77,4.68,46.0,44.5
111,Mauritius,Africa,59.0,1180.0,38.3,38.8,0.671,8.41,5.03,2.01,428.0,20.2,6.57,0.506,55.3,54.1
112,Malawi,Africa,737.0,10900.0,46.1,34.7,1.72,3.52,6.78,6.2,440.0,183.0,39.7,7.69,71.4,72.7
113,Malaysia,Asia,287.0,22700.0,22.2,57.0,1.76,14.4,5.45,2.91,436.0,11.0,0.0454,0.0636,59.7,62.7
114,Namibia,Africa,229.0,1760.0,51.0,48.2,0.645,5.99,5.96,4.12,412.0,76.2,6.79,0.888,45.0,48.1
115,Niger,Africa,853.0,10900.0,35.8,66.5,0.69,1.52,6.83,7.69,433.0,235.0,0.38,0.107,76.5,78.6
116,Nigeria,Africa,12100.0,119000.0,53.7,42.8,1.29,2.05,6.55,6.13,438.0,190.0,13.4,10.4,52.8,51.2
117,Nicaragua,America,186.0,4990.0,42.1,46.5,1.67,5.44,6.16,3.2,509.0,39.0,9.23,5.51,54.3,63.8
118,Netherlands,Europe,2000.0,15800.0,56.3,53.9,5.26,46.3,5.11,1.65,324.0,6.3,1.28,2.96,59.5,61.0
119,Norway,Europe,900.0,4470.0,38.5,28.1,1.35,46.9,4.32,1.85,336.0,4.98,6.67,-0.438,64.5,61.5
120,Nepal,Asia,4000.0,23500.0,25.6,27.1,0.891,2.38,6.15,4.18,407.0,85.8,8.89,4.69,84.4,81.9
121,New Zealand,Oceania,200.0,3820.0,38.2,34.8,0.806,34.9,5.25,2.0,391.0,7.6,0.515,3.66,60.0,65.4
122,Oman,Asia,300.0,2250.0,43.0,33.3,0.752,23.5,6.88,3.99,414.0,17.6,11.0,-3.54,53.4,68.9
123,Pakistan,Asia,13100.0,139000.0,24.5,36.3,0.876,3.29,6.59,4.73,502.0,115.0,5.86,8.62,47.6,52.2
124,Panama,America,75.6,2970.0,39.5,32.2,1.13,13.7,5.36,2.77,406.0,26.4,0.842,-0.17,55.3,63.8
125,Peru,America,1270.0,26100.0,53.1,56.5,2.27,8.78,6.82,2.99,372.0,41.9,2.93,1.98,65.2,74.5
126,Philippines,Asia,2500.0,76300.0,27.3,54.8,1.01,5.45,6.45,3.85,432.0,38.6,6.59,0.697,60.2,61.4
127,Papua New Guinea,Oceania,755.0,5720.0,24.4,37.9,0.545,2.57,6.23,4.57,424.0,73.8,11.1,0.0607,69.5,67.9
128,Poland,Europe,9000.0,38600.0,29.5,44.8,1.24,13.5,6.28,1.41,369.0,9.99,6.16,3.15,48.8,53.5
129,Portugal,Europe,2750.0,10300.0,58.6,41.8,1.61,26.5,4.5,1.46,373.0,7.7,3.37,1.74,57.7,53.7
130,Paraguay,America,300.0,5220.0,40.8,36.6,1.58,13.4,6.49,3.68,374.0,34.5,10.7,3.01,63.2,67.4
131,Palestine,Asia,166.0,3120.0,37.0,54.6,1.98,10.7,6.97,5.55,435.0,31.0,-3.03,3.85,34.6,34.2
132,Qatar,Asia,14.1,570.0,42.7,33.8,0.816,55.9,6.97,3.33,433.0,12.9,-4.95,-4.83,74.4,86.9
133,Romania,Europe,5500.0,22300.0,39.8,34.4,0.294,5.49,5.22,1.31,372.0,23.1,49.5,6.78,60.9,49.9
134,Russia,Europe,31300.0,147000.0,52.8,29.4,1.43,7.93,7.0,1.16,419.0,20.1,72.4,3.08,53.6,59.7
135,Rwanda,Africa,928.0,7500.0,42.5,37.4,1.11,1.69,7.07,5.74,420.0,191.0,11.0,2.5,86.6,84.8
136,Saudi Arabia,Asia,2000.0,20200.0,43.3,47.4,0.992,27.8,6.86,4.14,416.0,23.5,14.5,0.486,46.6,53.6
137,Sudan,Africa,3990.0,26600.0,33.9,36.7,0.761,3.02,6.64,5.54,425.0,108.0,15.8,50.0,43.8,40.4
138,Senegal,Africa,1010.0,9570.0,54.4,35.7,0.571,2.66,5.7,5.57,512.0,136.0,0.0783,1.86,49.1,54.8
139,Singapore,Asia,30.0,3950.0,47.0,41.3,0.76,34.8,5.47,1.47,456.0,4.12,-3.58,-0.624,61.6,66.9
140,Solomon Islands,Oceania,57.0,402.0,46.8,46.7,0.852,3.8,6.42,4.79,505.0,31.0,7.65,1.27,69.7,69.9
141,Sierra Leone,Africa,794.0,4460.0,41.9,46.8,0.943,1.36,5.72,6.39,514.0,239.0,17.2,8.54,62.1,55.2
142,El Salvador,America,248.0,5840.0,43.7,40.7,1.78,8.73,5.9,3.14,462.0,34.8,0.996,0.712,57.9,59.2
143,Serbia,Europe,2150.0,9580.0,33.4,36.3,2.42,12.5,5.9,1.79,374.0,13.2,27.9,2.44,48.9,46.4
144,Sao Tome and Principe,Africa,22.7,140.0,33.6,47.3,1.25,3.09,6.23,5.33,449.0,89.3,12.6,6.98,47.3,50.1
145,Suriname,America,80.7,465.0,45.8,32.1,1.65,9.13,6.58,2.9,406.0,35.7,74.0,4.42,44.1,49.1
146,Slovak Republic,Europe,2140.0,5400.0,29.9,57.9,2.11,15.9,5.94,1.31,363.0,10.2,7.22,2.51,49.9,55.1
147,Slovenia,Europe,470.0,1990.0,21.2,26.6,2.21,24.3,4.93,1.21,361.0,5.83,6.53,2.26,53.8,52.0
148,Sweden,Europe,2500.0,8870.0,50.0,24.0,1.62,38.9,4.07,1.51,381.0,4.14,0.898,2.67,58.2,60.1
149,Eswatini,Africa,86.0,994.0,61.3,26.8,0.135,3.36,6.71,4.28,414.0,121.0,5.37,2.31,41.4,40.2
150,Chad,Africa,1430.0,8050.0,31.3,36.1,1.01,1.83,6.06,7.38,432.0,189.0,-7.57,2.86,68.4,66.9
151,Togo,Africa,446.0,4780.0,42.4,39.2,1.63,2.8,6.34,5.46,427.0,123.0,1.12,1.55,79.3,75.9
152,Thailand,Asia,3000.0,62300.0,46.0,45.0,1.35,8.55,6.35,1.71,438.0,23.0,-2.58,0.946,71.0,67.2
153,Tajikistan,Asia,467.0,6120.0,37.4,43.1,1.0,2.21,5.87,4.05,381.0,90.4,26.5,3.66,51.4,53.2
154,Turkmenistan,Asia,367.0,4470.0,37.0,29.5,0.528,3.09,6.22,2.9,498.0,83.1,23.0,4.38,60.7,63.1
155,Timor-Leste,Asia,137.0,873.0,36.8,42.5,0.665,2.33,6.52,7.08,445.0,114.0,11.8,8.96,54.9,37.0
156,Tonga,Oceania,18.7,97.5,41.3,36.8,1.73,10.3,6.51,4.27,445.0,17.9,6.4,7.66,56.8,58.8
157,Trinidad and Tobago,America,20.0,1260.0,46.2,37.7,1.72,14.5,4.44,1.77,406.0,28.7,4.3,-0.996,53.2,58.3
158,Tunisia,Africa,800.0,9610.0,75.8,40.5,0.861,7.22,6.4,2.21,460.0,32.3,3.36,8.13,40.1,39.5
159,Turkey,Europe,9760.0,62300.0,54.4,41.0,1.0,10.7,6.92,2.56,380.0,40.9,54.3,13.9,47.7,45.5
160,Tanzania,Africa,3000.0,32700.0,28.8,31.0,0.741,1.25,6.74,5.71,415.0,137.0,10.7,2.47,79.1,81.4
161,Uganda,Africa,2500.0,23000.0,43.4,37.1,1.25,2.07,6.89,6.9,511.0,154.0,-0.113,2.16,68.0,69.2
162,Ukraine,Europe,11200.0,49300.0,45.6,43.0,0.536,4.6,7.5,1.17,361.0,19.2,27.4,8.25,49.7,49.0
163,Uruguay,America,55.0,3310.0,49.1,29.0,3.7,22.6,5.97,2.27,406.0,17.6,4.33,8.52,55.8,59.8
164,United States,America,6000.0,279000.0,57.0,42.7,4.2,62.8,7.03,2.01,329.0,8.59,1.44,1.79,63.6,58.9
165,Uzbekistan,Asia,1920.0,24400.0,33.9,40.0,0.541,2.66,5.71,2.87,381.0,65.2,44.1,18.6,57.7,61.3
166,St. Vincent and the Grenadines,America,25.8,108.0,43.2,40.2,1.08,9.78,6.54,2.44,463.0,22.6,1.82,1.15,52.7,56.8
167,Vietnam,Asia,4000.0,79000.0,33.8,47.8,1.16,3.14,4.7,2.1,417.0,31.4,5.73,1.79,75.4,76.4
168,Vanuatu,Oceania,27.8,181.0,40.5,36.1,1.24,4.57,6.6,4.46,426.0,29.0,3.08,2.57,66.0,67.0
169,Samoa,Oceania,47.3,174.0,40.7,37.8,2.76,8.03,6.98,4.54,471.0,21.9,2.48,2.17,33.1,28.8
170,Yemen,Asia,2590.0,16900.0,49.8,40.7,1.22,5.68,6.88,6.51,540.0,99.3,33.5,14.9,41.5,32.5
171,South Africa,Africa,1450.0,44300.0,35.2,35.0,1.34,6.08,6.47,2.87,398.0,71.7,7.03,4.02,39.6,39.6
172,Zambia,Africa,747.0,10100.0,52.1,58.5,1.26,3.29,6.71,6.07,410.0,169.0,17.9,7.63,69.3,68.9
173,Zimbabwe,Africa,1090.0,11800.0,27.3,47.3,1.94,6.93,6.75,4.1,396.0,105.0,8.01,350.0,66.9,79.9
